user_group;username;password;email;first_name;last_name;date_of_birth;phone;tg_name;is_student
;ovchinnikovratmir433;K*%0SAnq7CNT;smirnovisidor@yandex.ru;Викторин;Лаврентьева;2009-02-09;86284567323;@ovchinnikovratmir433;True
;timurivanov1039;ldHM4UfyZ)91;antonovradim@gmail.com;Светозар;Елисеева;2008-07-21;81099069753;@timurivanov1039;True
;vkonovalova4153;&b3!uMTis9QL;epifan20@kastorama.biz;Максимильян;Игнатьев;2004-10-29;82339390705;@vkonovalova4153;True
;evfrosinija19878870;2mG_iUZc%HuB;balekseeva@zatsev.org;Дарья;Кузьмина;2000-09-28;83419684361;@evfrosinija19878870;True
;samsonovapolina5195;%OJe*M!z+7ZB;rodionovazhanna@rao.org;Борислав;Блохин;2000-10-02;89199553576;@samsonovapolina5195;True
;martin876303;S)T7Om1#%3vg;rdementev@hotmail.com;Евграф;Мамонтов;2003-02-02;82593240258;@martin876303;True
;strelkovavalentina1163;!6N#ZfdVy8Jm;pavel1972@rambler.ru;Борислав;Игнатов;2008-04-18;81262307105;@strelkovavalentina11;True
;kolesnikovajulija9745;7H%q5!Uj)tDs;ippolit_1978@mail.ru;Афиноген;Тарасов;2004-08-05;86884512351;@kolesnikovajulija974;True
;zoja922113;+_4XgLchL2Ft;ipat1973@rambler.ru;Амвросий;Сорокина;2006-02-15;86333445465;@zoja922113;True
;viktorija643655;h_Af4zBx&!9T;ilarionbaranov@nekrasova.edu;Антонин;Федосеева;2002-09-14;86762527959;@viktorija643655;True
;blohinajulija6330;Gk6WVEAwL@Db;savvati_1992@npo.edu;Эммануил;Гурьев;2004-12-02;80592782076;@blohinajulija6330;True
;ladislav_175521;U3bb0wgfk#8O;ljudmila_2005@rambler.ru;Матвей;Комаров;2005-02-28;86276002638;@ladislav_175521;True
;valerjannoskov1952;D$4Y!s_j+sNB;izjaslav_99@rambler.ru;Нестор;Матвеева;2008-06-23;83766788234;@valerjannoskov1952;True
;vera_20178779;m171STKw@BQv;selivan2006@yandex.ru;Наркис;Логинова;2003-06-12;84332175884;@vera_20178779;True
;bikovsofron6511;(d@7TW$twOzu;mstislav_1997@rao.net;Яков;Калашникова;2002-11-12;88399412117;@bikovsofron6511;True
;emmanuil19793190;1t00Q54ssQ*A;svetozarloginov@mail.ru;Амвросий;Яковлев;2002-03-23;89699268655;@emmanuil19793190;True
;savelikostin1663;LSe2Fb7$M+(H;prohorgorshkov@shestakov.biz;Потап;Григорьева;2005-01-17;85181532218;@savelikostin1663;True
;potap_19948101;B+*Px!1%M*4x;ippolitshilov@hotmail.com;Тит;Коновалова;2007-07-11;83975194598;@potap_19948101;True
;galina_20082511;qpRy)eyn!0d9;evdokija1986@mail.ru;Ефим;Андреев;2004-08-27;86107564195;@galina_20082511;True
;ferapont_274652;BHhBx*dlrU6*;popovladimir@matveeva.net;Вадим;Мартынова;2004-10-31;84114385701;@ferapont_274652;True
;zatsevairina3729;^b6SVHJf4Qw!;denisovvisheslav@renessans.org;Иларион;Одинцова;2005-02-24;88477952150;@zatsevairina3729;True
;selivan19727635;)1wKgF6C*7#7;kulakovmark@yahoo.com;Мечислав;Шестакова;2004-03-24;83614810428;@selivan19727635;True
;artem20169881;5(_2PA)b)kpD;askoldmorozov@rambler.ru;Епифан;Андреев;2004-05-29;84926780160;@artem20169881;True
;firs98772;qhH^oSlcV!_0;lev_2012@rambler.ru;Емельян;Зуев;2007-05-29;82850665231;@firs98772;True
;gerasim36253;1jUS8%f*@#63;evstigne_91@yandex.ru;Милица;Федотова;2009-01-02;84352853260;@gerasim36253;True
;pahom_803344;7&S6IM(kYN@!;zosima08@yahoo.com;Викентий;Ефимова;2002-07-23;85126847539;@pahom_803344;True
;lapintimofe2505;ybiAW8Rb4TU#;dobromisl02@rao.biz;Дементий;Костина;2001-04-24;84127088749;@lapintimofe2505;True
;ekiselev4976;+&CL5CiulBj1;andre_2005@td.info;Геннадий;Суханова;2007-05-24;86642952117;@ekiselev4976;True
;gremislav19961674;&6&#LWtg4^90;lebedevsolomon@sokolov.com;София;Белоусова;2004-05-31;82516934473;@gremislav19961674;True
;zinovevanonna1852;&Rj1aNvy@c6P;aristarh_1978@mail.ru;Яков;Фокин;2008-07-19;80347317417;@zinovevanonna1852;True
;radovankozlov668;ZfVkVUJp#9lN;jgureva@toaz.org;Кондрат;Герасимова;2002-02-27;84362249071;@radovankozlov668;True
;tvorimir_055124;sOzNN2*s@8Hs;gerasimovilja@yahoo.com;Любомир;Горшков;2001-09-17;87049168245;@tvorimir_055124;True
;fedoseevalukija2133;89K$mnbUSduq;morozovavtonom@rambler.ru;Варвара;Блинов;2003-05-14;83530078122;@fedoseevalukija2133;True
;avtonomsmirnov2361;h2tKwcEe!6$6;ermola_2023@mail.ru;Якуб;Кириллов;2001-06-05;88965143565;@avtonomsmirnov2361;True
;lavrenti_078690;MnkFBbLoz#$5;kolesnikoverast@rambler.ru;Севастьян;Соболева;2003-12-07;88670443461;@lavrenti_078690;True
;mihe_932843;ChSRo%EH(c4P;xkomissarova@mail.ru;Вера;Владимиров;2002-08-16;82572948234;@mihe_932843;True
;evpraksija_1971978;F(7CpV+p#wD8;kulikovipati@yandex.ru;Алевтина;Муравьев;2008-07-20;87287027033;@evpraksija_1971978;True
;nekrasovasvetlana5469;^V+Faff2nk9R;cfokina@ip.org;Изот;Кондратьева;2008-05-27;83779479932;@nekrasovasvetlana546;True
;vladimirovpankrati1298;a21+hg4c#Dsg;jakushevvarfolome@hotmail.com;Викентий;Семенова;2002-04-29;85529099314;@vladimirovpankrati12;True
